case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_1x4,10,1,25,15,0.003,3.656,0.185,0.003,67.443878,false,1,1,140,10,48,false,true,0,0,0
synthetic_union_2x8,10,1,25,15,0.002,0.521,0.040,0.002,24.124925,false,2,3,560,10,48,false,true,0,0,0
synthetic_complement_4x4,10,1,25,15,0.002,1.225,0.051,0.002,23.763636,false,4,6,800,10,48,false,true,0,0,0
synthetic_union_6x8,10,1,25,15,0.003,5034.927,2723.116,0.003,795302.615654,true,6,11,1680,10,48,true,true,257097,0,0
synthetic_complement_6x6,10,1,25,15,0.036,555.541,23.240,0.036,639.463390,true,6,10,1800,10,48,true,true,4321,0,0
hierarchy_100,10,1,25,15,0.906,0.563,0.228,0.563,0.405403,false,0,10,0,10,48,false,false,0,0,0
univ_bench,10,1,25,15,0.008,0.007,0.011,0.007,1.648771,false,0,1,0,10,48,false,false,0,0,0
synthetic_union_1x4,10,1,25,30,0.003,3.656,0.039,0.003,14.198615,false,1,1,140,10,48,false,true,0,0,0
synthetic_union_2x8,10,1,25,30,0.002,0.521,0.114,0.002,68.298864,false,2,3,560,10,48,false,true,0,0,0
synthetic_complement_4x4,10,1,25,30,0.002,1.225,0.173,0.002,80.786014,false,4,6,1040,10,48,false,true,0,0,0
synthetic_union_6x8,10,1,25,30,0.003,5034.927,822.601,0.003,240245.533294,true,6,11,1680,10,48,true,true,105457,0,0
synthetic_complement_6x6,10,1,25,30,0.036,555.541,243.860,0.036,6709.954187,true,6,10,2340,10,48,true,true,17197,0,0
hierarchy_100,10,1,25,30,0.906,0.563,0.146,0.563,0.260349,false,0,10,0,10,48,false,false,0,0,0
univ_bench,10,1,25,30,0.008,0.007,0.010,0.007,1.470743,false,0,1,0,10,48,false,false,0,0,0
synthetic_union_1x4,10,1,50,15,0.003,3.656,0.015,0.003,5.427114,false,1,1,240,10,48,false,true,0,0,0
synthetic_union_2x8,10,1,50,15,0.002,0.521,0.074,0.002,44.123730,false,2,3,960,10,48,false,true,0,0,0
synthetic_complement_4x4,10,1,50,15,0.002,1.225,0.098,0.002,45.878322,false,4,6,1200,10,48,false,true,0,0,0
synthetic_union_6x8,10,1,50,15,0.003,5034.927,134.869,0.003,39389.386682,true,6,11,2880,10,48,true,true,33481,0,0
synthetic_complement_6x6,10,1,50,15,0.036,555.541,357.562,0.036,9838.548964,true,6,10,2700,10,48,true,true,31357,0,0
hierarchy_100,10,1,50,15,0.906,0.563,0.177,0.563,0.315165,false,0,10,0,10,48,false,false,0,0,0
