parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,average_regret
100,25,25,15,12.713618
100,1,25,30,12.728629
100,5,25,15,12.816080
100,25,50,30,12.892952
50,25,50,15,12.906131
50,25,25,15,12.915441
100,1,50,15,12.958279
100,5,50,15,13.037680
50,5,50,30,13.094480
50,25,25,30,13.211570
100,1,25,15,13.369289
50,1,50,30,13.387017
100,25,50,15,13.489992
100,25,25,30,13.544426
100,5,25,30,13.613731
100,1,50,30,13.702780
50,5,25,30,13.765145
100,5,50,30,13.841184
50,5,50,15,13.922103
50,25,50,30,14.081641
50,5,25,15,14.280639
50,1,50,15,15.357472
50,1,25,30,16.471461
50,1,25,15,19.999105
10,5,25,15,5451.731989
10,1,50,15,7046.395831
10,5,50,30,13110.117200
10,25,25,30,20272.418607
10,5,25,30,34010.699013
10,1,25,30,35302.928867
10,1,50,30,53792.503939
10,25,50,15,55089.627541
10,25,50,30,61041.969869
10,5,50,15,85639.733517
10,1,25,15,113722.780808
10,25,25,15,395011.638979
