case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
doid,100,25,25,15,90.828,77.630,57.170,77.630,0.736442,false,0,1582,0,100,1200,false,false,0,0,0
go_basic,100,25,25,15,265.884,365.362,208.340,265.884,0.783572,false,0,5189,0,100,1200,false,false,0,0,0
doid,100,1,25,30,90.828,77.630,16.826,77.630,0.216751,false,0,1582,0,100,48,false,false,0,0,0
go_basic,100,1,25,30,265.884,365.362,70.002,265.884,0.263279,false,0,5189,0,100,48,false,false,0,0,0
doid,100,5,25,15,90.828,77.630,16.603,77.630,0.213872,false,0,1582,0,100,240,false,false,0,0,0
go_basic,100,5,25,15,265.884,365.362,68.657,265.884,0.258222,false,0,5189,0,100,240,false,false,0,0,0
doid,100,25,50,30,90.828,77.630,16.431,77.630,0.211657,false,0,1582,0,100,1200,false,false,0,0,0
go_basic,100,25,50,30,265.884,365.362,69.094,265.884,0.259865,false,0,5189,0,100,1200,false,false,0,0,0
doid,50,25,50,15,90.828,77.630,16.188,77.630,0.208528,false,0,1582,0,50,1200,false,false,0,0,0
go_basic,50,25,50,15,265.884,365.362,68.175,265.884,0.256408,false,0,5189,0,50,1200,false,false,0,0,0
