case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_1x4,50,1,25,15,0.003,3.926,0.061,0.003,19.439734,false,1,1,140,50,48,false,true,0,0,0
synthetic_union_2x8,50,1,25,15,0.002,0.754,0.263,0.002,145.034141,false,2,3,560,50,48,false,true,0,0,0
synthetic_complement_4x4,50,1,25,15,0.037,0.958,0.040,0.037,1.088322,false,4,6,800,50,48,false,true,0,0,0
synthetic_union_6x8,50,1,25,15,0.062,2969.255,0.099,0.062,1.591591,false,6,11,1680,50,48,false,true,0,0,0
synthetic_complement_6x6,50,1,25,15,0.097,627.892,0.091,0.097,0.932271,false,6,10,1800,50,48,false,true,0,0,0
hierarchy_100,50,1,25,15,0.292,0.082,0.048,0.082,0.585894,false,0,10,0,50,48,false,false,0,0,0
univ_bench,50,1,25,15,0.006,0.005,0.003,0.005,0.478780,false,0,1,0,50,48,false,false,0,0,0
disjunctive_5k,50,1,25,15,5.316,773.203,1102.259,5.316,207.353934,true,1000,1500,70000,50,48,true,true,1545,0,0
synthetic_union_1x4,50,1,25,30,0.003,3.926,0.036,0.003,11.413160,false,1,1,140,50,48,false,true,0,0,0
synthetic_union_2x8,50,1,25,30,0.002,0.754,0.284,0.002,156.413546,false,2,3,560,50,48,false,true,0,0,0
synthetic_complement_4x4,50,1,25,30,0.037,0.958,0.084,0.037,2.256379,false,4,6,1040,50,48,false,true,0,0,0
synthetic_union_6x8,50,1,25,30,0.062,2969.255,0.245,0.062,3.933511,false,6,11,1680,50,48,false,true,0,0,0
synthetic_complement_6x6,50,1,25,30,0.097,627.892,0.246,0.097,2.532810,false,6,10,2340,50,48,false,true,0,0,0
hierarchy_100,50,1,25,30,0.292,0.082,0.273,0.082,3.311964,false,0,10,0,50,48,false,false,0,0,0
univ_bench,50,1,25,30,0.006,0.005,0.005,0.005,0.919897,false,0,1,0,50,48,false,false,0,0,0
disjunctive_5k,50,1,25,30,5.316,773.203,683.375,5.316,128.554581,true,1000,1500,70000,50,48,true,true,907,0,0
