case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_1x4,50,250,25,15,0.009,2.089,0.017,0.009,1.845637,false,1,1,140,50,12000,false,false,0,0,0
synthetic_union_2x8,50,250,25,15,0.007,0.496,0.044,0.007,6.390941,false,2,1,560,50,12000,false,false,0,0,0
synthetic_complement_4x4,50,250,25,15,0.007,2.038,0.051,0.007,7.188750,false,4,2,800,50,12000,false,false,0,0,0
hierarchy_100,50,250,25,15,0.077,0.054,0.055,0.054,1.009915,false,0,10,0,50,12000,false,false,0,0,0
univ_bench,50,250,25,15,0.015,0.009,0.008,0.009,0.939673,false,0,1,0,50,12000,false,false,0,0,0
synthetic_union_1x4,50,250,25,30,0.004,0.210,0.007,0.004,2.053695,false,1,1,140,50,12000,false,false,0,0,0
synthetic_union_2x8,50,250,25,30,0.006,0.518,0.057,0.006,9.372933,false,2,1,560,50,12000,false,false,0,0,0
synthetic_complement_4x4,50,250,25,30,0.009,1.446,0.064,0.009,6.918563,false,4,2,1040,50,12000,false,false,0,0,0
hierarchy_100,50,250,25,30,0.061,0.041,0.039,0.041,0.944680,false,0,10,0,50,12000,false,false,0,0,0
univ_bench,50,250,25,30,0.011,0.013,0.007,0.011,0.633063,false,0,1,0,50,12000,false,false,0,0,0
synthetic_union_1x4,50,250,50,15,0.004,0.274,0.007,0.004,1.994920,false,1,1,240,50,12000,false,false,0,0,0
synthetic_union_2x8,50,250,50,15,0.005,0.450,0.048,0.005,8.854020,false,2,1,960,50,12000,false,false,0,0,0
synthetic_complement_4x4,50,250,50,15,0.008,0.883,0.087,0.008,11.568699,false,4,2,1200,50,12000,false,false,0,0,0
hierarchy_100,50,250,50,15,0.053,0.042,0.037,0.042,0.885411,false,0,10,0,50,12000,false,false,0,0,0
univ_bench,50,250,50,15,0.010,0.007,0.007,0.007,1.004467,false,0,1,0,50,12000,false,false,0,0,0
synthetic_union_1x4,50,250,50,30,0.003,0.227,0.007,0.003,2.108896,false,1,1,240,50,12000,false,false,0,0,0
synthetic_union_2x8,50,250,50,30,0.005,0.515,0.034,0.005,7.010478,false,2,1,960,50,12000,false,false,0,0,0
synthetic_complement_4x4,50,250,50,30,0.004,3.454,0.064,0.004,14.746594,false,4,2,1440,50,12000,false,false,0,0,0
hierarchy_100,50,250,50,30,0.047,0.037,0.035,0.037,0.955022,false,0,10,0,50,12000,false,false,0,0,0
univ_bench,50,250,50,30,0.009,0.007,0.007,0.007,0.989454,false,0,1,0,50,12000,false,false,0,0,0
synthetic_union_1x4,50,250,75,15,0.003,0.212,0.009,0.003,2.706442,false,1,1,340,50,12000,false,false,0,0,0
synthetic_union_2x8,50,250,75,15,0.006,0.414,0.093,0.006,14.641874,false,2,1,1360,50,12000,false,false,0,0,0
synthetic_complement_4x4,50,250,75,15,0.013,2.293,0.065,0.013,5.102380,false,4,2,1600,50,12000,false,false,0,0,0
hierarchy_100,50,250,75,15,0.057,0.034,0.033,0.034,0.980804,false,0,10,0,50,12000,false,false,0,0,0
univ_bench,50,250,75,15,0.009,0.012,0.007,0.009,0.735901,false,0,1,0,50,12000,false,false,0,0,0
synthetic_union_1x4,50,250,75,30,0.003,0.365,0.011,0.003,3.127787,false,1,1,340,50,12000,false,false,0,0,0
synthetic_union_2x8,50,250,75,30,0.007,0.424,0.048,0.007,7.086408,false,2,1,1360,50,12000,false,false,0,0,0
synthetic_complement_4x4,50,250,75,30,0.010,1.781,0.050,0.010,4.996188,false,4,2,1840,50,12000,false,false,0,0,0
hierarchy_100,50,250,75,30,0.039,0.033,0.048,0.033,1.461604,false,0,10,0,50,12000,false,false,0,0,0
univ_bench,50,250,75,30,0.009,0.007,0.006,0.007,0.950216,false,0,1,0,50,12000,false,false,0,0,0
synthetic_union_1x4,50,500,25,15,0.004,0.277,0.007,0.004,1.950413,false,1,1,140,50,24000,false,false,0,0,0
synthetic_union_2x8,50,500,25,15,0.006,0.402,0.090,0.006,15.763885,false,2,1,560,50,24000,false,false,0,0,0
synthetic_complement_4x4,50,500,25,15,0.004,1.056,0.079,0.004,20.225080,false,4,2,800,50,24000,false,false,0,0,0
hierarchy_100,50,500,25,15,0.039,0.032,0.032,0.032,0.991161,false,0,10,0,50,24000,false,false,0,0,0
univ_bench,50,500,25,15,0.008,0.007,0.006,0.007,0.884362,false,0,1,0,50,24000,false,false,0,0,0
synthetic_union_1x4,50,500,25,30,0.003,0.238,0.030,0.003,8.963416,false,1,1,140,50,24000,false,false,0,0,0
synthetic_union_2x8,50,500,25,30,0.015,0.385,0.042,0.015,2.839796,false,2,1,560,50,24000,false,false,0,0,0
synthetic_complement_4x4,50,500,25,30,0.006,1.593,0.062,0.006,10.664964,false,4,2,1040,50,24000,false,false,0,0,0
hierarchy_100,50,500,25,30,0.038,0.032,0.032,0.032,0.996334,false,0,10,0,50,24000,false,false,0,0,0
univ_bench,50,500,25,30,0.009,0.007,0.007,0.007,0.956452,false,0,1,0,50,24000,false,false,0,0,0
synthetic_union_1x4,50,500,50,15,0.003,0.234,0.008,0.003,2.157457,false,1,1,240,50,24000,false,false,0,0,0
synthetic_union_2x8,50,500,50,15,0.006,0.459,0.056,0.006,9.406124,false,2,1,960,50,24000,false,false,0,0,0
synthetic_complement_4x4,50,500,50,15,0.005,0.920,0.072,0.005,13.705680,false,4,2,1200,50,24000,false,false,0,0,0
hierarchy_100,50,500,50,15,0.037,0.032,0.032,0.032,0.990673,false,0,10,0,50,24000,false,false,0,0,0
univ_bench,50,500,50,15,0.008,0.007,0.006,0.007,0.878677,false,0,1,0,50,24000,false,false,0,0,0
