parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,average_regret
50,250,25,15,3.474983
50,250,75,30,3.524441
100,250,25,15,3.848496
50,250,25,30,3.984587
100,1000,50,15,4.028585
50,1000,25,30,4.341534
50,1000,25,15,4.367673
200,250,50,15,4.422251
100,250,50,15,4.445940
100,250,75,30,4.825712
50,250,75,15,4.833480
50,250,50,15,4.861503
50,500,25,30,4.884192
50,500,50,30,4.925305
200,500,25,15,5.055929
200,500,75,15,5.085406
200,1000,50,15,5.095411
100,250,25,30,5.123879
200,1000,50,30,5.129238
50,250,50,30,5.162089
50,1000,75,30,5.176088
200,250,75,30,5.179851
100,500,75,15,5.189832
50,500,50,15,5.427722
50,500,75,30,5.524192
100,250,75,15,5.552140
100,500,25,15,5.658828
100,1000,75,15,5.696641
100,1000,25,30,5.727259
200,250,75,15,5.925388
100,500,25,30,6.117847
100,250,50,30,6.254540
100,1000,75,30,6.305173
200,1000,75,15,6.365030
200,500,50,30,6.504558
100,1000,25,15,6.685210
200,500,50,15,6.701016
200,1000,75,30,6.735512
50,1000,50,15,6.751468
200,500,25,30,6.755879
100,500,50,15,6.789082
200,250,25,15,7.006943
200,250,25,30,7.083190
200,1000,25,15,7.096007
100,500,50,30,7.152133
200,1000,25,30,7.163428
200,500,75,30,7.166920
50,1000,50,30,7.442105
100,1000,50,30,7.600449
50,500,25,15,7.962980
200,250,50,30,7.993707
50,500,75,15,8.018995
50,1000,75,15,9.083708
100,500,75,30,9.531111
