case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_2x8,500,500,25,30,0.003,0.669,0.089,0.003,28.489137,false,2,3,560,500,24000,false,false,0,0,0
synthetic_complement_4x4,500,500,25,30,0.002,1.009,0.066,0.002,40.109146,false,4,6,1040,500,24000,false,false,0,0,0
synthetic_union_6x8,500,500,25,30,0.004,3243.070,0.338,0.004,91.812772,false,6,11,1680,500,24000,false,false,0,0,0
synthetic_complement_6x6,500,500,25,30,0.021,576.235,0.294,0.021,13.826222,false,6,10,2340,500,24000,false,false,0,0,0
hierarchy_100,500,500,25,30,1.588,1.195,0.561,1.195,0.469263,false,0,10,0,500,24000,false,false,0,0,0
univ_bench,500,500,25,30,0.038,0.035,0.003,0.035,0.094316,false,0,1,0,500,24000,false,false,0,0,0
disjunctive_5k,500,500,25,30,32.908,1416.108,969.550,32.908,29.462105,true,1000,1500,70000,500,24000,true,true,1237,0,0
synthetic_union_1x4,500,500,50,15,0.003,4.168,0.047,0.003,17.854285,false,1,1,240,500,24000,false,false,0,0,0
synthetic_union_2x8,500,500,50,15,0.003,0.669,0.272,0.003,86.986262,false,2,3,960,500,24000,false,false,0,0,0
synthetic_complement_4x4,500,500,50,15,0.002,1.009,0.120,0.002,72.912195,false,4,6,1200,500,24000,false,false,0,0,0
synthetic_union_6x8,500,500,50,15,0.004,3243.070,0.675,0.004,183.362772,false,6,11,2880,500,24000,false,false,0,0,0
synthetic_complement_6x6,500,500,50,15,0.021,576.235,0.716,0.021,33.648167,false,6,10,2700,500,24000,false,false,0,0,0
hierarchy_100,500,500,50,15,1.588,1.195,0.926,1.195,0.775089,false,0,10,0,500,24000,false,false,0,0,0
univ_bench,500,500,50,15,0.038,0.035,0.008,0.035,0.213986,false,0,1,0,500,24000,false,false,0,0,0
disjunctive_5k,500,500,50,15,32.908,1416.108,1719.730,32.908,52.258095,true,1000,1500,120000,500,24000,true,true,1245,0,0
synthetic_union_1x4,500,500,50,30,0.003,4.168,0.524,0.003,197.804455,false,1,1,240,500,24000,false,false,0,0,0
synthetic_union_2x8,500,500,50,30,0.003,0.669,0.281,0.003,89.689776,false,2,3,960,500,24000,false,false,0,0,0
synthetic_complement_4x4,500,500,50,30,0.002,1.009,0.175,0.002,106.621341,false,4,6,1440,500,24000,false,false,0,0,0
synthetic_union_6x8,500,500,50,30,0.004,3243.070,0.597,0.004,162.259511,false,6,11,2880,500,24000,false,false,0,0,0
synthetic_complement_6x6,500,500,50,30,0.021,576.235,0.597,0.021,28.039803,false,6,10,3240,500,24000,false,false,0,0,0
hierarchy_100,500,500,50,30,1.588,1.195,0.934,1.195,0.781202,false,0,10,0,500,24000,false,false,0,0,0
univ_bench,500,500,50,30,0.038,0.035,0.006,0.035,0.178907,false,0,1,0,500,24000,false,false,0,0,0
disjunctive_5k,500,500,50,30,32.908,1416.108,1591.717,32.908,48.368111,true,1000,1500,120000,500,24000,true,true,1327,0,0
