case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
doid,2000,500,50,15,66.774,43.788,49.723,43.788,1.135539,false,0,1582,0,2000,24000,false,false,0,0,0
go_basic,2000,500,50,15,109.874,163.850,196.209,109.874,1.785774,false,0,5189,0,2000,24000,false,false,0,0,0
doid,2000,250,50,30,66.774,43.788,15.364,43.788,0.350869,false,0,1582,0,2000,12000,false,false,0,0,0
go_basic,2000,250,50,30,109.874,163.850,64.257,109.874,0.584830,false,0,5189,0,2000,12000,false,false,0,0,0
doid,2000,1000,25,15,66.774,43.788,15.545,43.788,0.355000,false,0,1582,0,2000,48000,false,false,0,0,0
go_basic,2000,1000,25,15,109.874,163.850,58.860,109.874,0.535707,false,0,5189,0,2000,48000,false,false,0,0,0
doid,2000,1000,50,30,66.774,43.788,15.468,43.788,0.353259,false,0,1582,0,2000,48000,false,false,0,0,0
go_basic,2000,1000,50,30,109.874,163.850,60.610,109.874,0.551633,false,0,5189,0,2000,48000,false,false,0,0,0
doid,2000,1000,50,15,66.774,43.788,15.637,43.788,0.357112,false,0,1582,0,2000,48000,false,false,0,0,0
go_basic,2000,1000,50,15,109.874,163.850,60.460,109.874,0.550267,false,0,5189,0,2000,48000,false,false,0,0,0
doid,2000,500,50,30,66.774,43.788,15.469,43.788,0.353280,false,0,1582,0,2000,24000,false,false,0,0,0
go_basic,2000,500,50,30,109.874,163.850,60.487,109.874,0.550518,false,0,5189,0,2000,24000,false,false,0,0,0
doid,2000,500,25,15,66.774,43.788,15.443,43.788,0.352680,false,0,1582,0,2000,24000,false,false,0,0,0
go_basic,2000,500,25,15,109.874,163.850,78.522,109.874,0.714654,false,0,5189,0,2000,24000,false,false,0,0,0
doid,2000,1000,25,30,66.774,43.788,49.655,43.788,1.133987,false,0,1582,0,2000,48000,false,false,0,0,0
go_basic,2000,1000,25,30,109.874,163.850,59.711,109.874,0.543448,false,0,5189,0,2000,48000,false,false,0,0,0
