parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,average_regret
100,25,25,30,9.979345
100,5,50,30,9.997995
100,5,25,30,10.006841
50,5,25,30,10.009980
100,5,50,15,10.020344
100,25,50,30,10.054883
50,1,50,30,10.092737
50,5,50,30,10.108110
50,5,50,15,10.122770
50,1,50,15,10.188429
50,1,25,30,10.194409
10,5,50,30,10.211711
50,25,50,30,10.254513
100,1,50,30,10.258130
100,1,50,15,10.289436
50,1,25,15,10.297476
10,1,50,30,10.298583
10,5,50,15,10.334481
10,25,50,30,10.334956
50,25,25,30,10.338452
10,5,25,15,10.357423
50,25,50,15,10.485261
10,5,25,30,10.517039
10,1,50,15,10.558439
10,25,50,15,10.583444
100,25,50,15,10.650288
100,1,25,30,10.685546
10,25,25,15,10.693968
100,25,25,15,10.781495
100,5,25,15,10.943393
50,5,25,15,10.990623
10,1,25,30,10.997132
100,1,25,15,11.045692
10,25,25,30,11.383575
50,25,25,15,12.213404
10,1,25,15,23.689658
