case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_1x4,10,1,25,15,0.003,3.351,0.176,0.003,55.739873,false,1,1,140,10,48,false,true,0,0,0
synthetic_union_2x8,10,1,25,15,0.001,0.551,0.042,0.001,29.454031,false,2,1,560,10,48,false,true,0,0,0
synthetic_complement_4x4,10,1,25,15,0.001,1.919,0.051,0.001,36.309849,false,4,2,800,10,48,false,true,0,0,0
synthetic_union_6x8,10,1,25,15,0.002,3888.087,0.091,0.002,40.234852,false,6,5,1680,10,48,false,true,0,0,0
synthetic_complement_6x6,10,1,25,15,0.036,367.597,0.097,0.036,2.718554,false,6,4,1800,10,48,false,true,0,0,0
hierarchy_100,10,1,25,15,1.333,0.698,0.050,0.698,0.071253,false,0,10,0,10,48,false,false,0,0,0
univ_bench,10,1,25,15,0.009,0.002,0.003,0.002,1.299195,false,0,1,0,10,48,false,false,0,0,0
synthetic_union_1x4,10,1,25,30,0.003,3.351,0.005,0.003,1.522468,false,1,1,140,10,48,false,true,0,0,0
synthetic_union_2x8,10,1,25,30,0.001,0.551,0.020,0.001,13.919378,false,2,1,560,10,48,false,true,0,0,0
synthetic_complement_4x4,10,1,25,30,0.001,1.919,0.032,0.001,23.136592,false,4,2,1040,10,48,false,true,0,0,0
synthetic_union_6x8,10,1,25,30,0.002,3888.087,0.080,0.002,35.532950,false,6,5,1680,10,48,false,true,0,0,0
synthetic_complement_6x6,10,1,25,30,0.036,367.597,0.075,0.036,2.086661,false,6,4,2340,10,48,false,true,0,0,0
hierarchy_100,10,1,25,30,1.333,0.698,0.023,0.698,0.032322,false,0,10,0,10,48,false,false,0,0,0
univ_bench,10,1,25,30,0.009,0.002,0.002,0.002,0.749553,false,0,1,0,10,48,false,false,0,0,0
